text,l1
"I met my friend Nife while I was studying in a middle school. I was happy when I met him because he was a good student in our school. We continued the middle and high school to gather in the same school. We were studying in the different classes in the middle school; however, in the high school we were studying in the same class. We went to many places in the free time while we were studying in the high school. When we finished from the high school, I went to K.S University and he went to I.M University. While we were enjoying in academic life, we made many achievement in these universities. I graduated when Nife was studying in the last semester in the university. After that, I got a job. Fortunately, it was nearby my home. I worked two years then I got scholarship from ministry of high education in my country. When I came here to U.S, my friend Nife arrange some documents to study at grad school in Malaysia.",Arabic
"How to fail a test

 There are several ways for how to fail a test and I am of the best students in the ELI who knows how to fail a test. First of all, in my opinion you have to absent in most classes and if you came to the class you should provoke your teacher because that makes your teacher to be dislike you and this is the first thing to fail a test. For example, I have repeated reading class because I provoke that teacher and then let me fail a test. Second, if the first one doesn't work with you then, I recommend you to cheat in the test so, that you put your teacher in no other choice after that, he or she will give you 'f ' grade in the test. Finally, if you don't want to make trouble with your teacher by simply way don't answer to any question in the test and then you will make as heroes have done before.",Arabic
"The definition of success
Success is the key of a great life. A million people from whole world searching for it to be satisfy. Success is to see your dream happen by yourself. 
A lot of famous people who had a success wrote a bout it. For example, Booker T. Washington says ""I have learned that success is to be measured not so much by the position that one has reached in life as by the obstacles which he has overcome while trying to succeed""

I believe that this is the really meaning of success. To see how much obstacles did you have to reach your dream. On the other hand some of my friends saying for success are just a wealth and having a good position in the government filed. In my opinion, not only the money is the success. But there are a lot of successes stories not related to money, for example, the slavery freedom, soling a problem for people you love, saving the environt form industrial pulsation... etc.

In conclusion, there is a lot of definition for success, every person looking for success from his own angle and it makes the",Arabic
"The definition of success
Success is the key of a great life. A million people from whole world searching for it to be satisfy. Success is to see your dream happen by yourself. 
A lot of famous people who had a success wrote a bout it. For example, Booker T. Washington says ""I have learned that success is to be measured not so much by the position that one has reached in life as by the obstacles which he has overcome while trying to succeed""

I believe that this is the really meaning of success. To see how much obstacles did you have to reach your dream. On the other hand some of my friends saying for success are just a wealth and having a good position in the government filed. In my opinion, not only the money is the success. But there are a lot of successes stories not related to money, for example, the slavery freedom, soling a problem for people you love, saving the environt form industrial pulsation... etc.

In conclusion, there is a lot of definition for success, every person looking for success from his own angle and it makes the",Arabic
"It's difficult to succeed in getting a higher education, if he were the first person in the family. Of course the first person has some chance to succeed, but it's difficult to have a chance to succeed.
Recently in Japan a highly educated person tends to have a highly educated family. The person who wants to succeed must study hard, but his status affects his success. If his father or mother is a highly educated person and earns much money, he can accept an advanced education to succeed. And his parents would make him succeed in getting a high education. As he lives in that status, he would think it's natural to succeed and study more and more. For example, his parents are not highly educated persons, it's difficult for him to accept enough education to succeed. And they don't know how to make their child succeed in getting a higher education well. On the other hand, in his school teachers might lead person who doesn't have highly educated parents to succeed. But he would not realize that it's the chance to succeed. Because he doesn't think it's natural for him to have a success in getting a higher education.


2. Explain a difficulty a person might have if he or she were the first person in their family to succeed in getting a higher education.",Japanese
"""Not all learning takes place in the classroom""

 Gaining knowledge is a major feature of human revolution. Human societies develop by time through knowledge transition of one generation to another. Knowledge gaining can be achieved in many different ways. One typical way is gaining knowledge in the classroom. Although, it has been said, ""Not all learning takes place in the classroom,"" there are other approaches to gain knowledge.

 Moreover, knowledge can be gained from personal experience. I think that the knowledge gained in the classroom instruction is not more than 10% of ones knowledge. That because the knowledge delivered in classroom is very limited in quantity and time.

 On the other hand, knowledge gained form personal experience is much richer. This includes the knowledge created from classroom instruction after critical thinking and extra personal study. Furthermore, the real life interactions within society is a great mine of knowledge too, including all kinds of human interactions such as in work, home, school, market and so on. 

 As conclusion, knowledge gained from real life is much significant than the knowledge gained from classroom instruction. Consequently remember that ""Not all learning takes place in the classroom.""",Arabic
"Gaining knowledge comes from every where. You increase your information from your day life experience or from studying at school. Through your life you know a lot of things that you never expect to know. Every incident you go through will allow you to learn something which will help you through out your life. On the other hand, the lessons that you learn in the classroom are the basics of learning which will help you understand life more. I believe that traveling is the essential of learning. I traveled a lot with my parent and I did not realize the benefits that I have I gotten from traveling. However when I got married my husband was not the person who thinks that traveling is important , but when we were traveling together he saw the different between us , and how much knowledge I had from going abroad and connecting with other people from other countries . At that point he recognized that learning dose not come only from studying at school. Personal experience is important to grow your knowledge, but you cannot achieve what you aim to without studying in school. Therefore both personal experience and classroom instruction are important for learning.",Arabic
"There have been lots of debates on the issue that which learning source is more important, classroom instruction or personal experience. I hold the opinion that learning from the classroom instruction is more important than that from personal experience. There are several advantages of learning from classroom instruction.
Firstly, nowadays, a variety of tools or facilities are necessary to accomplish learning task effectively and efficiently. Individuals, however, are not capable of possessing all the learning tools they need in their study. Schools have all kind of facilities and media for learning and education such as libraries, learning instruments, media facilities.
Secondly, most of the knowledge teaching in classroom is based on the research done by other scholars and personal experience from other people. It is impossible for each individual to work on every research he or she wants to know and to have the same personal experience as others have. Learning from classrooms is an efficient way to obtain the knowledge in a relatively short period.
 Thirdly, people's learning from classroom setting will get appropriate direction from the professors. Teach will always give you good advice or suggestion when you work on some research topic. They are knowledgeable and experienced, especially in the area you study in. They provide students with shortcut for searching materials or choosing topic to work on.
 In conclusion, from my personal perspective, I prefer to gain knowledge from classroom instruction which provides students with excellent learning environments.",Chinese
"Eating Habit 

Eating habit is only way to keep the human in a good health. So that habit which they use to eat affects their health positively or negatively some people eat at home or restraints. If you eat at home it has benefit if eat at restraint has benefit too. So it has advantages and disadvantages 

Before I got married, I was eating my meals at restraint . Eating at restraint has many advantages. First, when I eat at restraint I save may time, so I ha .second, I don't have to go to grocery stores to buy food. One other hand , eating at home has advantages too. I can buy things which I need with low price and doesn't cost me too much. I could cook at me home any food I want or that food I can't find it in American restraints.

There are some disadvantages to eat at restraint. For example, if eat there every day , I will spend around 40-50% form my income on eating outside. Also, the nutrition value is very essential there are some restraint doesn't care about it and that it will effect your health .

Finally, I prefer to eat at my home and have my lunch and denier with my family and my wife proper it.",Arabic
"Gaining knowledge comes from every where. You increase your information from your day life experience or from studying at school. Through your life you know a lot of things that you never expect to know. Every incident you go through will allow you to learn something which will help you through out your life. On the other hand, the lessons that you learn in the classroom are the basics of learning which will help you understand life more. I believe that traveling is the essential of learning. I traveled a lot with my parent and I did not realize the benefits that I have I gotten from traveling. However when I got married my husband was not the person who thinks that traveling is important , but when we were traveling together he saw the different between us , and how much knowledge I had from going abroad and connecting with other people from other countries . At that point he recognized that learning dose not come only from studying at school. Personal experience is important to grow your knowledge, but you cannot achieve what you aim to without studying in school. Therefore both personal experience and classroom instruction are important for learning.",Arabic
"Each person has a dream; so when he realizes his dream, he is a successful person.
 And what contributes to his (her) success? In my opinion, intelligence, hard work, luck, talent and fate are all necessary, but the most important thing is hard work. For instance, Xiang ,ANON_NAME_0 , the champion of the Olympic Games. He was an athlete of high jump; he was a freshman in this field because he only had been going in for this sport for two years before he won the medal. In fact, the Chinese aren't good at this sport; nobody had got a medal before. But he was self-confident, and believed that he could win through his effort. In those two years, most of his life were on the sports ground. He faced many difficulties: pain, hardship, frustration and failure, yet, he still persevered and applied himself. He got a great deal of experiences and improved step by step through training hard and attending various kinds of matches. In the end, he got the highest achievement, winning the Olympic gold.
 All in all, you can't succeed without hard work. Just like a song says: without going through the rain, how can you see the rainbow?""",Chinese
"Thank you for your visiting to my blog.

Hello, my name is Soonhyung ANON_NAME_0. I am glad to meet you through this web log. I have been studying PHP for several days to make this site. I made this by using a Photoshop, Dream weaver and PHP. Maybe there are some errors in this site. This is because I didn't have enough time to make this and this is the first time, for me, to make a website. However, you don't need to worry about it because I've been correcting those and I've almost done. I worked in a game company, NCsoft in Korea and my part was graphic design of on-line games. So, I have been create a lot game characters, buildings and levels of the game. However, now, I am studying English because I believe that I need to study my part of the game more in U.S.",Korean
"Welcome to my website, everyone!

My name is Nat. I came from Thailand. I've been living in Pittsburgh since August 2006. I'm studying at ELI so I created this website for sharing my experience with you. I've posted a lot of photos and written my diaries.

First of all, I like to take photos ever since I bought a digital camera before I departed from my home country. I have been collecting photos for 7 years so there are tons of photos in my laptop. When I traveled to an interesting place, my friends and I have been taking a lot of photos. Then I sent photos from my camera to my friends and I also got some photos from my friends' camera.

In addition, I have been playing sports since I was child. I've gotten many friends from playing sports. At first I just played sports for staying healthy and having fun. After a while, I had many friends. I also have been watching soccer match, but I have never watched soccer match since I came to Pittsburgh because soccer is not popular sport in this country.

Finally, I just created a personal website so you can share your opinions and comments via this website. I hope you enjoy them.",Thai
"In 2001, I met my good friend Bingbing while she was only coming back to the University of Qinghua from UK. When I showed her, she was wearing a pink sport dress. She had straight black hair. She was about 5 feet 5 and was gorgeous. She and I were in an office and her desk next to my. We quickly became good friend each other because we had many same things. For example, we were same age. She liked running and I liked too. She pretty enjoyed drinking Chinese tea and I drank tea very day. That time, we were always running slowly while we were talking something at the park in the early morning. Then we chose a bar, drank a cup of our favorite tea, and ate a few small Fence cakes. When she knew I would go to the United States, she gave me two boxes tea. Today, I am drinking tea when I often remember her.",Chinese
"Unit 3

 Hi, I am ANON_NAME_0, this is my website. I welcome everyone to enjoy it. I have been getting a lot of experience for my life in the United States for three years. I designed this website to share my interested stories; it included sad or happy, successful or failing, stupid or wishful. I really expect to help your life. 

I have got a drive's license since more than two years. In fact, this experience to me was very difficult. In 2004, I just hoped to drive a car to go to anyplace maybe that was my one of American dreams. I practiced driving skills very hard, but first the road test failed. When I was tearing, I practiced again. In my birthday, I received a special valuable present from myself that I passed the road test, and then I took a drive's license. Lately, I have been driving less than 5'000 miles.",Chinese
"The Stonehenge located on the Plain of Salisbury in southern England is famous. According to archaeological data, the Stonehenge was built in Neolithic times, about 3000 B.C. There are many point of views come up with different version of the Stonehenge. There are many different points of views on the Stonehenge. For example, it might have been used for religious ceremonies; it may have employed the Holy Land to bury hero or noble; or it could have been a calculating machine of an astronomical yearbook. However, I think according to its architecture, it must have been accurately calculated before its construction. And then the people who designed or built it had to have highest wisdom. So the Stonehenge can still exist on the Plain of Salisbury in southern England year after year. 


................................................
A: I told you about Joyce in confidence.
B: I know. It's totally my fault. I wish I could take it back.
I think A told B secret about Joyce, but B must have told other people. So B wish himself didn't talk A's secret to someone. B regrets saying the secret.",Chinese
"Hi, I'm Jotard. I've been living in Pittsburgh for a month, and I've built this web site to introduce to you my hobbies.
 I've been playing basketball for more than 10 years, and I really loved it. I've been watching the NBA games since I was a high school student. I've been a captain of my department's basketball team when I studied in college, and I've led my team to win several games. Now in Pittsburgh I still have been playing basketball. I also liked reading comic books, and I will buy it if I liked a comic book very much. I've collected comic books since I was sixteen, and I've had a big library of comic books. I liked painting, and I took drawing class while I was studying in college. Now I've learned about sketching and water-coloring. I've been drawing comics for more than 10 years when I was free, and I loved doing it very much.
 Those three things are my favorite hobbies. If you have the same hobbies with mine, I'm very glad to know you and to share my experience with you. I will continously enjoy them, and I hope all of you can enjoy them forever, too.",Chinese
