text,l1
"First, prepare your cup, loose tea or bag tea, and a port.
Second, boil water.
Third, put the loose tea or bag tea to your cup.
Fourth, pour the water into the cup.
And you can drink your tea.",Korean
"I organized the instructions by time, beacause to make tea people who want to make tea have to follow the instructions step by step. If they do the instructions randomly, they will not make tea.",Korean
"In my country, make a tea is very easy because we use tea bags. Fitst, boil a water in a pot. Second, pour the water into a cup. And then, put your tea bag into the cup. When you wait for about 3~4min, you can drink excellent tea.",Korean
Every paragragh's instructions depend on a main idea. But I often organize the instruction by time. Because I think organized by time is good looking for readers.,Korean
"When I want to drink my tea, I have to make it myself. First, I use a tea bag and put it down into a cup. Then I will fill hot water and wait for my cup. I may add some sugar or milk in my tea. Enjoy it.",Thai
"The organization by time is about method to do something whereas by importance is about ordering important thing. Lastly, the organization by situation is about doing something depend on situation.",Thai
"I will introduce to make a hamburger. First, to buy a bread, a ham, a cheese, vegetables. a tomato, etc. Next, cut vegetables, and a tomato. Next, skewer a ham on fry fan. If it is complete, you move a ham to a bread",Korean
"Hi everyone, I've been living in Pittsburgh since last May. I participated to build website of Saudi Physical Therapy Association SPTA. I have supervised this website for 3 years. I have posted a lot of medical information. I hope you visit the website.
ANON_URLPAGE",Arabic
"Passport,visa, learn some of the language,read about some common cutoms in my host country and learn about the money.",Korean
"I have brought some money, identification for me, and family`s picture.
 Now, they are very usefull to me",Korean
"I agree opinion of this book. 
 I talk about everything with my cousin. It is very good for me.
 Also, sprots can help me to forget the homesick.
 By good luck, Uitl now, I have not experience of me to feel homesick.",Korean
"Ilike pizza it's my favorets, however all kind of pizza it's O.K. with me. Most of all I like Papa jone's pitzza, also I like pizza hut it's my secoend choice.There are anther kind of food like lazania , frenchfrise and cocacola.",Arabic
"I favorite subway restaurant and outback staeke reataurant. Because I favorite tuna hamberge in the subway and well done staeke in the outback restaurant.
 I do not know what served another foods. Only I know tuna hamberge and well done staeke.
 thank you.",Korean
"Topic: My favorite restaurant
Eet & Park is my favorite restaurant. I usually like to go there because it has both a good servise and a dileguse food. Eet & Park restaurant serves many variose tayb dishes. for example, it serves sea food and children meal,too.",Arabic
"I can't point out which restaurant is my favorit restaurant,bacause i love so many kinds of food.I have interest in many kinds my ,many country's food,i like to try new things. But i like korea restaurant than other restaurants.The restaurant serve many kings of food ,like Zhajiamian, deboji.",Chinese
My favorite restaurant is fridys.It is a nice place we spend there a agood time and they serve good food.my favorite dish is fish with rice.Igo there with my family.we engoy our time.,Arabic
May be I'll nominate my brother. Because he is my relative so I can believe him. And I think my brother will have a good job so he become good guardian.,Korean
"I want to nominate my sister. I think she will be a good guardian because she likes children very much. When she went to childcare center in her class, many children loved her.",Japanese
I would to nominate my brother. Because he good person. He also has a good gob and good education in his live. He has children and I see how he is take care for his children. I think he is very good to be guardian.,Arabic
Maybe I will nominate a legal guardian for my childen. I would nominate my brother. Because I brother is good health and young age. Or he is a blood relation and family. He have a stability job because he is profetssor.,Korean
"Here are a few instruction for typing in English. English sentences begin with a capital letter, and they usaullay end with a beriod.",Arabic
"I'm miss korea food
and my mother.
so I'm loot at the picture and i went restaurant
of korea in university of pittsburgh.",Korean
"1.study another language
2.add to their knowledge
3.Do not be a frog in a well
4.study another culture
5.search for a good job

My friend is studying in here,than i wnat to study music in PIT.",Chinese
"EX:To choose a good school , and tell my friend pick up me from airport, and goes to AIT applying to a VISA.",Chinese
"If I get homesick,the only one way is to cry than you will much better! And maybe you can talk with your friend, thay can help you a lot.
I never get homesick in here. i am very
happy everyday.",Chinese
"1.study another language
2.add to their knowledge
3.Do not be a frog in a well
4.study another culture
5.search for a good job

My friend is studying in here,than i wnat to study music in PIT.",Chinese
"EX:To choose a good school , and tell my friend pick up me from airport, and goes to AIT applying to a VISA.",Chinese
"If I get homesick,the only one way is to cry than you will much better! And maybe you can talk with your friend, thay can help you a lot.
I never get homesick in here. i am very
happy everyday.",Chinese
"Passport,visa, learn some of the language,read about some common cutoms in my host country and learn about the money.credit card.",Korean
"advice: you have to active better now that you have hobby and meet many friend. 
I try to talk to others,write letter,call phone 
when i",Korean
"If we get homesick, we try to talk to others, or write about our fellings in a notebook.

I got homesick when I was sick.
So I called my friends who live in Korea.",Korean
"1- Because it is a good university.

2- Because my relative lives in Pittsburgh.
3- Because it is a good City.",Arabic
"- I bought some cloths.

2- I bought some English books.

3- I studied English before came to Pittsburgh",Arabic
"- Enjoy yourself.

2- Don't think about your family.

3- Don't call your family every day.

*** Yes, I do",Arabic
"Get your passport and visa early.
Learn some of the language. 
Learn about the money.
Bring some money and a credit card with you.",Arabic
"Try to talk to others.
Write about your feelings in a notebook
If I feel homesick I try to talk to my friends",Arabic
"-unique: my friend ANON_NAME_0 is a unique person.
-promote: Producers usually promote for their product , by putting ads on t.v ,magazines.
-deceptive: some ads are deceptive .",Arabic
"commercial:
Today there are many methods for commercial in TV.
recrite:
If you lay off your empployy, you should recrite others for your company.",Arabic
"1.Water, sunshine and air are the most essential living elements for human beings.
2.Don't easily believe in deceptive ads.
3.A.I. is the most sophisticated technology nowadays.",Chinese
"screw, interval, concurrent, dence anticipate,
bulk, approach, recruit, immediate, point, 

I need bulk baggage for my long travel to Africa.

A big car approached very fast and after that it crashed the wall.

The new commpany made a new agreement with famous Human Resources Company about recruiting new staff.",Turkish
"1. interpret:
I went to the museum yerterday, and it was difficult to interpret the modern art paints.

2. challenge:
Security is the most important challenge for the next government in United States.

3. Notice:
When I arrived to my home, I noticed that somebody had stolen my apartment",Spanish
"illustration:
The math textbook has many clearly illustrations that can make me understand what it means easily.
gather:
The painting store gathers many famous paintings in the world.
challenge:
Teacher always hope students to show their challenge in the class.",Chinese
